Date,Block,Host,Treatment,InitialDose,EffectiveDose,PopID,UniqueID,Babies,Censored
6/11/2018,2,N2,Control,None,None,1,1,1,0
6/11/2018,2,N2,Control,None,None,1,2,1,0
6/11/2018,2,N2,Control,None,None,1,3,1,0
6/11/2018,2,N2,Control,None,None,1,4,1,0
6/11/2018,2,N2,Control,None,None,1,5,1,0
6/11/2018,2,N2,Control,None,None,1,6,1,0
6/11/2018,2,N2,Control,None,None,1,7,1,0
6/11/2018,2,N2,Control,None,None,1,8,1,0
6/11/2018,2,N2,Control,None,None,1,9,NA,1
6/11/2018,2,N2,Control,None,None,1,10,1,0
6/11/2018,2,N2,Control,None,None,1,11,1,0
6/11/2018,2,N2,Control,None,None,1,12,1,0
6/11/2018,2,N2,Control,None,None,1,13,1,0
6/11/2018,2,N2,Control,None,None,1,14,1,0
6/11/2018,2,N2,Control,None,None,1,15,1,0
6/11/2018,2,N2,Control,None,None,1,16,1,0
6/11/2018,2,N2,Control,None,None,1,17,1,0
6/11/2018,2,N2,Control,None,None,1,18,1,0
6/11/2018,2,N2,Control,None,None,1,19,1,0
6/11/2018,2,N2,Control,None,None,1,20,1,0
6/11/2018,2,N2,Exposed,High,High,3,1,0,0
6/11/2018,2,N2,Exposed,High,High,3,2,0,0
6/11/2018,2,N2,Exposed,High,High,3,3,0,0
6/11/2018,2,N2,Exposed,High,High,3,4,0,0
6/11/2018,2,N2,Exposed,High,High,3,5,0,0
6/11/2018,2,N2,Exposed,High,High,3,6,0,0
6/11/2018,2,N2,Exposed,High,High,3,7,0,0
6/11/2018,2,N2,Exposed,High,High,3,8,0,0
6/11/2018,2,N2,Exposed,High,High,3,9,0,0
6/11/2018,2,N2,Exposed,High,High,3,10,0,0
6/11/2018,2,N2,Exposed,High,High,3,11,0,0
6/11/2018,2,N2,Exposed,High,High,3,12,0,0
6/11/2018,2,N2,Exposed,High,High,3,13,0,0
6/11/2018,2,N2,Exposed,High,High,3,14,0,0
6/11/2018,2,N2,Exposed,High,High,3,15,0,0
6/11/2018,2,N2,Exposed,High,High,3,16,0,0
6/11/2018,2,N2,Exposed,High,High,3,17,0,0
6/11/2018,2,N2,Exposed,High,High,3,18,0,0
6/11/2018,2,N2,Exposed,High,High,3,19,0,0
6/11/2018,2,N2,Exposed,High,High,3,20,0,0
6/27/2018,3,N2,Control,None,None,2,1,1,0
6/27/2018,3,N2,Control,None,None,2,2,1,0
6/27/2018,3,N2,Control,None,None,2,3,1,0
6/27/2018,3,N2,Control,None,None,2,4,1,0
6/27/2018,3,N2,Control,None,None,2,5,1,0
6/27/2018,3,N2,Control,None,None,2,6,1,0
6/27/2018,3,N2,Control,None,None,2,7,1,0
6/27/2018,3,N2,Control,None,None,2,8,1,0
6/27/2018,3,N2,Control,None,None,2,9,1,0
6/27/2018,3,N2,Control,None,None,2,10,1,0
6/27/2018,3,N2,Control,None,None,2,11,1,0
6/27/2018,3,N2,Control,None,None,2,12,1,0
6/27/2018,3,N2,Control,None,None,2,13,1,0
6/27/2018,3,N2,Control,None,None,2,14,1,0
6/27/2018,3,N2,Control,None,None,2,15,1,0
6/27/2018,3,N2,Control,None,None,2,16,1,0
6/27/2018,3,N2,Control,None,None,2,17,1,0
6/27/2018,3,N2,Control,None,None,2,18,1,0
6/27/2018,3,N2,Control,None,None,2,19,1,0
6/27/2018,3,N2,Control,None,None,2,20,1,0
6/27/2018,3,N2,Exposed,Low,High,4,1,1,0
6/27/2018,3,N2,Exposed,Low,High,4,2,0,0
6/27/2018,3,N2,Exposed,Low,High,4,3,0,0
6/27/2018,3,N2,Exposed,Low,High,4,4,0,0
6/27/2018,3,N2,Exposed,Low,High,4,5,0,0
6/27/2018,3,N2,Exposed,Low,High,4,6,0,0
6/27/2018,3,N2,Exposed,Low,High,4,7,0,0
6/27/2018,3,N2,Exposed,Low,High,4,8,0,0
6/27/2018,3,N2,Exposed,Low,High,4,9,0,0
6/27/2018,3,N2,Exposed,Low,High,4,10,0,0
6/27/2018,3,N2,Exposed,Low,High,4,11,0,0
6/27/2018,3,N2,Exposed,Low,High,4,12,0,0
6/27/2018,3,N2,Exposed,Low,High,4,13,0,0
6/27/2018,3,N2,Exposed,Low,High,4,14,0,0
6/27/2018,3,N2,Exposed,Low,High,4,15,0,0
6/27/2018,3,N2,Exposed,Low,High,4,16,0,0
6/27/2018,3,N2,Exposed,Low,High,4,17,NA,1
6/27/2018,3,N2,Exposed,Low,High,4,18,0,0
6/27/2018,3,N2,Exposed,Low,High,4,19,0,0
6/27/2018,3,N2,Exposed,Low,High,4,20,0,0
6/27/2018,3,N2,Exposed,Medium,High,5,1,0,0
6/27/2018,3,N2,Exposed,Medium,High,5,2,0,0
6/27/2018,3,N2,Exposed,Medium,High,5,3,NA,1
6/27/2018,3,N2,Exposed,Medium,High,5,4,0,0
6/27/2018,3,N2,Exposed,Medium,High,5,5,0,0
6/27/2018,3,N2,Exposed,Medium,High,5,6,0,0
6/27/2018,3,N2,Exposed,Medium,High,5,7,0,0
6/27/2018,3,N2,Exposed,Medium,High,5,8,0,0
6/27/2018,3,N2,Exposed,Medium,High,5,9,0,0
6/27/2018,3,N2,Exposed,Medium,High,5,10,0,0
6/27/2018,3,N2,Exposed,Medium,High,5,11,0,0
6/27/2018,3,N2,Exposed,Medium,High,5,12,0,0
6/27/2018,3,N2,Exposed,Medium,High,5,13,0,0
6/27/2018,3,N2,Exposed,Medium,High,5,14,0,0
6/27/2018,3,N2,Exposed,Medium,High,5,15,0,0
6/27/2018,3,N2,Exposed,Medium,High,5,16,0,0
6/27/2018,3,N2,Exposed,Medium,High,5,17,0,0
6/27/2018,3,N2,Exposed,Medium,High,5,18,0,0
6/27/2018,3,N2,Exposed,Medium,High,5,19,0,0
6/27/2018,3,N2,Exposed,Medium,High,5,20,0,0
