Date,Replicate,PlateID,RepID,Treatment,Host,Day,Status,Babies,BabiesAlt,Male,Censored
29-Sep,1,3,Exposed_CB4856_1,Exposed,CB4856,8,D,0,0,0,0
27-Sep,3,6,Exposed_CB4856_3,Exposed,CB4856,6,D,0,0,0,0
26-Sep,3,10,Exposed_CB4856_3,Exposed,CB4856,5,D,0,0,1,0
26-Sep,1,13,Exposed_ERTN2_1,Exposed,N2,5,D,0,0,0,0
27-Sep,3,18,Exposed_JU1762_3,Exposed,JU1762,6,D,0,0,0,0
24-Sep,1,19,Exposed_JU2132_1,Exposed,JU2132,3,D,0,0,0,0
25-Sep,1,22,Exposed_JU1762_1,Exposed,JU1762,4,D,0,0,0,0
25-Sep,1,25,Exposed_JU2132_1,Exposed,JU2132,4,D,0,0,0,0
26-Sep,2,28,Exposed_JU2132_2,Exposed,JU2132,5,D,0,0,0,0
26-Sep,3,31,Exposed_JU2132_3,Exposed,JU2132,5,D,0,0,0,0
24-Sep,1,33,Control_ERTN2_1,Control,N2,3,D,0,0,0,0
25-Sep,2,37,Exposed_JU2132_2,Exposed,JU2132,4,D,0,0,0,0
24-Sep,2,38,Exposed_JU1762_2,Exposed,JU1762,3,D,0,0,0,0
26-Sep,1,42,Exposed_JU2132_1,Exposed,JU2132,5,D,0,0,0,0
27-Sep,3,46,Exposed_ERTN2_3,Exposed,N2,6,D,0,0,0,0
25-Sep,2,50,Exposed_JU2132_2,Exposed,JU2132,4,D,0,0,0,0
25-Sep,3,53,Exposed_ERTN2_3,Exposed,N2,4,D,0,0,0,0
25-Sep,2,56,Exposed_JU2132_2,Exposed,JU2132,4,D,0,0,0,0
26-Sep,1,62,Exposed_ERTN2_1,Exposed,N2,5,D,0,0,0,0
26-Sep,1,63,Exposed_JU2132_1,Exposed,JU2132,5,D,0,0,0,0
26-Sep,2,66,Exposed_ERTN2_2,Exposed,N2,5,D,0,0,0,0
25-Sep,2,70,Exposed_CB4856_2,Exposed,CB4856,4,D,0,0,0,0
30-Sep,2,73,Exposed_CB4856_2,Exposed,CB4856,9,D,0,0,0,0
25-Sep,2,74,Exposed_ERTN2_2,Exposed,N2,4,D,0,0,0,0
27-Sep,2,76,Exposed_JU1762_2,Exposed,JU1762,6,D,0,0,0,0
26-Sep,2,79,Exposed_JU2132_2,Exposed,JU2132,5,D,0,0,0,0
25-Sep,2,80,Exposed_JU1762_2,Exposed,JU1762,4,D,0,0,0,0
26-Sep,3,86,Exposed_ERTN2_3,Exposed,N2,5,D,0,0,0,0
26-Sep,1,88,Exposed_CB4856_1,Exposed,CB4856,5,D,0,0,0,0
26-Sep,2,90,Exposed_ERTN2_2,Exposed,N2,5,D,0,0,0,0
24-Sep,3,91,Exposed_ERTN2_3,Exposed,N2,3,D,0,0,0,0
23-Sep,1,94,Exposed_JU1762_1,Exposed,JU1762,2,D,0,0,0,0
27-Sep,2,98,Exposed_CB4856_2,Exposed,CB4856,6,D,0,0,0,0
26-Sep,2,100,Exposed_JU1762_2,Exposed,JU1762,5,D,0,0,0,0
26-Sep,3,102,Exposed_ERTN2_3,Exposed,N2,5,D,0,0,0,0
25-Sep,3,103,Exposed_JU1762_3,Exposed,JU1762,4,D,0,0,0,0
24-Sep,1,105,Control_ERTN2_1,Control,N2,3,D,0,0,0,0
24-Sep,3,107,Exposed_CB4856_3,Exposed,CB4856,3,D,0,0,1,1
26-Sep,3,111,Exposed_JU2132_3,Exposed,JU2132,5,D,0,0,0,0
28-Sep,3,112,Exposed_JU2132_3,Exposed,JU2132,7,D,0,0,0,0
25-Sep,3,116,Exposed_JU1762_3,Exposed,JU1762,4,D,0,0,0,0
24-Sep,1,117,Exposed_JU1762_1,Exposed,JU1762,3,D,0,0,0,0
25-Sep,3,120,Exposed_JU2132_3,Exposed,JU2132,4,D,0,0,0,0
25-Sep,2,121,Exposed_JU2132_2,Exposed,JU2132,4,D,0,0,0,0
25-Sep,2,128,Exposed_ERTN2_2,Exposed,N2,4,D,0,0,0,0
