Block,Date,Randomized.ID,ObsID,Host,Treatment,Count.Replicate,Count,Population.Estimate,Male
2,28-Aug-19,5,1321,CB4856,Exposed,1,18,13050,
2,28-Aug-19,5,1322,CB4856,Exposed,2,15,10875,
2,28-Aug-19,5,1323,CB4856,Exposed,3,22,15950,
2,28-Aug-19,5,1324,CB4856,Exposed,4,13,9425,
2,28-Aug-19,5,1325,CB4856,Exposed,5,13,9425,
2,28-Aug-19,5,1326,CB4856,Exposed,6,14,10150,
2,28-Aug-19,6,1327,N2,Exposed,1,10,7250,
2,28-Aug-19,6,1328,N2,Exposed,2,12,8700,
2,28-Aug-19,6,1329,N2,Exposed,3,8,5800,
2,28-Aug-19,6,1330,N2,Exposed,4,12,8700,
2,28-Aug-19,6,1331,N2,Exposed,5,13,9425,
2,28-Aug-19,6,1332,N2,Exposed,6,7,5075,
2,28-Aug-19,10,1339,CB4856,Control,1,35,25375,
2,28-Aug-19,10,1340,CB4856,Control,2,47,34075,
2,28-Aug-19,10,1341,CB4856,Control,3,47,34075,
2,28-Aug-19,10,1342,CB4856,Control,4,39,28275,
2,28-Aug-19,10,1343,CB4856,Control,5,47,34075,
2,28-Aug-19,10,1344,CB4856,Control,6,57,41325,
2,28-Aug-19,11,1345,CB4856,Exposed,1,32,23200,
2,28-Aug-19,11,1346,CB4856,Exposed,2,40,29000,
2,28-Aug-19,11,1347,CB4856,Exposed,3,33,23925,
2,28-Aug-19,11,1348,CB4856,Exposed,4,50,36250,
2,28-Aug-19,11,1349,CB4856,Exposed,5,48,34800,
2,28-Aug-19,11,1350,CB4856,Exposed,6,40,29000,
2,28-Aug-19,13,1357,N2,Exposed,1,3,2175,
2,28-Aug-19,13,1358,N2,Exposed,2,8,5800,
2,28-Aug-19,13,1359,N2,Exposed,3,7,5075,
2,28-Aug-19,13,1360,N2,Exposed,4,10,7250,
2,28-Aug-19,13,1361,N2,Exposed,5,2,1450,
2,28-Aug-19,13,1362,N2,Exposed,6,3,2175,
2,28-Aug-19,16,1369,N2,Control,1,87,63075,
2,28-Aug-19,16,1370,N2,Control,2,59,42775,
2,28-Aug-19,16,1371,N2,Control,3,71,51475,
2,28-Aug-19,16,1372,N2,Control,4,64,46400,
2,28-Aug-19,16,1373,N2,Control,5,70,50750,
2,28-Aug-19,16,1374,N2,Control,6,60,43500,
2,28-Aug-19,20,1381,N2,Control,1,38,27550,
2,28-Aug-19,20,1382,N2,Control,2,37,26825,
2,28-Aug-19,20,1383,N2,Control,3,38,27550,
2,28-Aug-19,20,1384,N2,Control,4,43,31175,
2,28-Aug-19,20,1385,N2,Control,5,37,26825,
2,28-Aug-19,20,1386,N2,Control,6,40,29000,
2,28-Aug-19,25,1387,N2,Control,1,36,26100,
2,28-Aug-19,25,1388,N2,Control,2,41,29725,
2,28-Aug-19,25,1389,N2,Control,3,30,21750,
2,28-Aug-19,25,1390,N2,Control,4,25,18125,
2,28-Aug-19,25,1391,N2,Control,5,31,22475,
2,28-Aug-19,25,1392,N2,Control,6,50,36250,
2,28-Aug-19,31,1405,CB4856,Exposed,1,9,6525,
2,28-Aug-19,31,1406,CB4856,Exposed,2,19,13775,
2,28-Aug-19,31,1407,CB4856,Exposed,3,20,14500,
2,28-Aug-19,31,1408,CB4856,Exposed,4,18,13050,
2,28-Aug-19,31,1409,CB4856,Exposed,5,23,16675,
2,28-Aug-19,31,1410,CB4856,Exposed,6,14,10150,
2,28-Aug-19,33,1411,N2,Control,1,42,30450,
2,28-Aug-19,33,1412,N2,Control,2,37,26825,
2,28-Aug-19,33,1413,N2,Control,3,38,27550,
2,28-Aug-19,33,1414,N2,Control,4,52,37700,
2,28-Aug-19,33,1415,N2,Control,5,46,33350,
2,28-Aug-19,33,1416,N2,Control,6,28,20300,
2,28-Aug-19,35,1417,CB4856,Control,1,46,33350,
2,28-Aug-19,35,1418,CB4856,Control,2,45,32625,
2,28-Aug-19,35,1419,CB4856,Control,3,37,26825,
2,28-Aug-19,35,1420,CB4856,Control,4,44,31900,
2,28-Aug-19,35,1421,CB4856,Control,5,42,30450,
